Unnamed: 0.1,Unnamed: 0,rpid,name,content,like,rcount,sentiment,sentiment_score,analysis_result
0,0,1718591495,风里偷听,初听不知曲中意，再听已是付费曲[抠鼻][抠鼻],63845,530.0,怀旧,0.025510346168924558,negative
1,1,1721114292,肖鱿鱼,那年的电影也是神仙打架 0506到底是个怎么样的存在,1182,0.0,怀旧,0.9968262664763622,positive
2,2,1723448141,euterpe__,回复 @肖鱿鱼 :0506年动画也出了很多经典 鲁路修 cl 凉宫春日等,1067,0.0,怀旧,0.953302541366774,positive
3,3,1724975403,茉崔蒂Bili,初听不知曲中意，再听已是曲中人。,413,0.0,怀旧,0.9076816612609095,positive
4,4,1725617375,猜猜我捡到了什么,真实落泪,126,0.0,中立,0.9574899728468574,positive
5,5,1725974849,西西弗斯丶石头,hhhh,26,0.0,中立,0.5,netural
6,6,1726019071,NIvanAjamie,笑死了😂靓仔落泪,109,0.0,中立,0.996755187842426,positive
7,7,1726086382,风里偷听,回复 @NIvanAjamie :某有识蛋心，只要八块钱你还是个靓仔,69,0.0,中立,0.8812712868870229,positive
8,8,1726260412,吾名苍里,回复 @t06zflkm :凉宫春日哈哈哈哈,7,0.0,中立,0.4491335562344996,netural
9,9,1728440136,_璎珞_,扎心了，老铁,27,0.0,中立,0.6049602779851169,netural
10,10,1729442709,曲终弦断音未散,回复 @肖鱿鱼 :还有电视剧,42,0.0,怀旧,0.8276149356298778,positive
11,11,1730371321,宕宕凼,很多回忆游戏也是那段时间喷井出来,47,0.0,怀旧,0.996689985327449,positive
12,12,1731061115,12398789321,回复 @加油心中最好的软泥怪 :8块的歌只能在线听,1,0.0,怀旧,0.6209205965923651,netural
13,13,1731095473,v的挚爱,回复 @肖鱿鱼 :0506维密也是台布大神的主场,76,0.0,怀旧,0.14814662120801603,negative
14,14,1731118040,露娜口袋银河,回复 @t06zflkm :还有fate,10,0.0,怀旧,0.13225263621431305,negative
15,15,1731337504,Lolla向前冲,过于真实,15,0.0,中立,0.6326787975173401,netural
16,16,1731853127,euterpe__,回复 @青青草原我做王 :记错了，air是05年的,3,0.0,怀旧,0.9944732739774873,positive
17,17,1732756681,zhu大人的老板娘,我的妈，0506是各个行业各路大神的打架现场吗,94,0.0,怀旧,0.42669789791838586,netural
18,18,1733310060,每天减肥一百遍,回复 @肖鱿鱼 :让我想到了0506的维密，也是神仙,32,0.0,怀旧,0.9601283771403675,positive
19,19,1733821240,不发光的银子,applemusic学生五元了解一下，一般周杰伦这类的港台艺人的歌曲都会在上面的,9,0.0,怀旧,0.9324504935834632,positive
20,20,1736341772,涼风ima,回复 @t06zflkm :是啊，当年一部鲁路修，还有高达OO，超时空要塞F，忘记是不是同一年的了,34,0.0,怀旧,0.07406711804258592,negative
21,21,1738444449,东陆北岛,真实的地一匹,0,0.0,中立,0.9336756270909392,positive
22,22,1738989150,沧海一粟米,昨天才发现下歌要钱囧,3,0.0,中立,0.3350422446630603,netural
23,23,1739941044,禤翾_November,Jay的歌都收费了现在[傲娇],3,0.0,中立,0.45419244074948195,netural
24,24,1741913153,朝雾史织老公,我的绿钻大概也就这点用了。。。,2,0.0,中立,0.4735839754245156,netural
